FigFam	description	X196.non.day.7	X200.non.day.7	X188.non.day.7	X190.non.day.7	X191.non.day.7	X197.non.day.7	X187.carb.day.7	X189.carb.day.7	X192.carb.day.7	X194.carb.day.7	X195.carb.day.7	X198.carb.day.7	Pvalues	Qvalues	fold_change	
FIG01425275_Outer_membrane_protein_(porin)_	FIG01425275	Outer_membrane_protein_(porin)_	0	0	0	0	0	0	7.2	26.5	4.7	8.5	0	7.2	0.000704914	0.065414348	180.3333333
FIG01166874_Transcriptional_regulatory_protein_cssR_	FIG01166874	Transcriptional_regulatory_protein_cssR_	0	0	0	0	1	0	0	0	0	169.6	0	0	0.001420454	0.08650342	169.6
FIG00732845_COG0438:_Glycosyltransferase_	FIG00732845	COG0438:_Glycosyltransferase_	0	2.1	0	0	0	0	0	342.2	5.6	0	0	1.4	0.0003792	0.051317116	166.2857143
FIG00713393_restriction_endonuclease_	FIG00713393	restriction_endonuclease_	0	0	0	0	0	0	7.2	0	24.3	0	15.8	1.4	0.001321434	0.084628257	162.3333333
"FIG01412101_oxidoreductase,_molybdopterin_binding_"	FIG01412101	"oxidoreductase,_molybdopterin_binding_"	0	0	0	0	1	0	130.5	0.9	10.3	1.7	0	7.2	0.000596463	0.060516837	150.6
FIG01377251_FIG00899038:_hypothetical_protein_	FIG01377251	FIG00899038:_hypothetical_protein_	0	0	0	0	0	0	14.4	2.8	1.9	0	15.8	4.3	0.001292695	0.084186144	130.6666667
FIG01393064_Possible_Galanin_	FIG01393064	Possible_Galanin_	0	0	0	0	0	0	14.5	0	2.8	0	15.8	4.3	0.001790604	0.09654116	124.6666667
FIG01368116_alkaline_serine_protease_	FIG01368116	alkaline_serine_protease_	0	0	0	0	1	0	36.2	1.9	0.9	0	23.7	46.2	0.001145335	0.076437397	108.9
FIG00933379_Serine/threonine_protein_kinase_(EC_2.7.11.1)_	FIG00933379	Serine/threonine_protein_kinase_(EC_2.7.11.1)_	0	2.1	0	0	0	0	0	0	0	0	0	212.6	0.001893144	0.096577616	101.2380952
FIG00746582_FIG00746585:_hypothetical_protein_	FIG00746582	FIG00746585:_hypothetical_protein_	0	2.1	0	0	0	0	7.2	15.2	48.5	111.9	15.8	4.3	0.000159749	0.035588662	96.61904762
FIG00647032_FIG00647033:_hypothetical_protein_	FIG00647032	FIG00647033:_hypothetical_protein_	45.6	20.8	22.6	20.8	60.9	65	21748.6	92	89.6	33.9	39.6	15.7	1.87E-05	0.011116519	93.42129826
FIG00938851_FIG00938853:_hypothetical_protein_	FIG00938851	FIG00938853:_hypothetical_protein_	0	0	0	0	2	6.5	0	0.9	730.5	0	0	0	0.000747144	0.06618165	86.04705882
FIG01891927_FIG00590988:_hypothetical_protein_	FIG01891927	FIG00590988:_hypothetical_protein_	0	0	0	0	4.9	0	0	1.9	409.6	1.7	0	0	0.000952448	0.073074153	84.32653061
FIG00442467_putative_phage_Major_head_protein_	FIG00442467	putative_phage_Major_head_protein_	0	2.1	3.8	4.8	0	0	877.2	0	0	3.4	0	2.9	0.000559447	0.059251222	82.57009346
"FIG01961211_1,3-propanediol_dehydrogenase_(EC_1.1.1.202)_"	FIG01961211	"1,3-propanediol_dehydrogenase_(EC_1.1.1.202)_"	5.7	0	0	1.6	21.6	13	3160.8	92.9	2.8	0	0	102.7	0.000194871	0.038750594	80.17183771
FIG00006437_Outer_spore_coat_protein_E_	FIG00006437	Outer_spore_coat_protein_E_	0	2.1	0	0	1	0	0	0	0	0	189.9	52.1	0.001328864	0.084628257	78.06451613
"FIG00844133_extracellular_solute-binding_protein,_family_5_"	FIG00844133	"extracellular_solute-binding_protein,_family_5_"	0	8.3	0	0	0	0	0	0	0	0	0	619.1	0.001545401	0.089416662	74.59036145
FIG00603577_FIG00603580:_hypothetical_protein_	FIG00603577	FIG00603580:_hypothetical_protein_	5.7	0	11.3	0	2	0	1051.2	2.8	25.2	0	7.9	7.2	0.0003663	0.051126139	57.59473684
FIG01311886_Regulatory_protein_recX_	FIG01311886	Regulatory_protein_recX_	0	2.1	0	0	1	0	14.5	8.5	51.3	84.8	7.9	0	0.000893187	0.071335983	53.87096774
FIG01315500_outer_membrane_lipoprotein_receptor_	FIG01315500	outer_membrane_lipoprotein_receptor_	0	0	0	16	0	6.5	0	0	0	0	1060.2	114.2	0.001403855	0.086030254	52.19555556
FIG01574848_ADP-ribose_pyrophosphatase(_EC:3.6.1.13_)_	FIG01574848	ADP-ribose_pyrophosphatase(_EC:3.6.1.13_)_	0	0	0	9.6	0	6.5	775.7	0	7.5	0	15.8	0	0.001296002	0.084186144	49.62732919
FIG01473623_tRNA_methylase_Trm12p_Wyeosine_biosynthesis_	FIG01473623	tRNA_methylase_Trm12p_Wyeosine_biosynthesis_	0	2.1	0	0	0	0	43.5	3.8	14.9	15.3	23.7	2.8	0.001817872	0.09654116	49.52380952
FIG00051808_Ribonucleotide_reductase_of_class_II_(coenzyme_B12-dependent)_(EC_1.17.4.1)_@_intein-containing_	FIG00051808	Ribonucleotide_reductase_of_class_II_(coenzyme_B12-dependent)_(EC_1.17.4.1)_@_intein-containing_	0	4.1	0	1.6	30.5	0	14.5	0	1658.9	71.2	0	0	0.001048546	0.076244577	48.19337017
"FIG01344332_Thymidylate_kin,_Thymidylate_kinase_"	FIG01344332	"Thymidylate_kin,_Thymidylate_kinase_"	0	2.1	22.6	0	0	0	753.9	22.7	82.2	61	39.5	0	0.000522748	0.05723066	38.83805668
FIG00670464_FIG00670466:_hypothetical_protein_	FIG00670464	FIG00670466:_hypothetical_protein_	5.7	2.1	33.9	0	1	0	1268.7	20.8	84.9	47.5	142.4	34.7	0.000134479	0.033598082	37.44730679
"FIG01332365_peptidase,_M48_family_"	FIG01332365	"peptidase,_M48_family_"	22.8	0	22.6	0	0	6.5	1486.2	39.8	50.3	27.1	269	2.9	0.000272398	0.044570847	36.13294798
FIG01121155_Putative_ribonucleoprotein_related-protein_TROVE_Domain_	FIG01121155	Putative_ribonucleoprotein_related-protein_TROVE_Domain_	5.7	12.4	26.3	0	43.2	0	2638.8	15.1	27.1	15.3	15.8	27.5	0.000535098	0.057295183	31.2739726
FIG00715305_Formyl-coenzyme_A_transferase_(EC_2.8.3.16)_	FIG00715305	Formyl-coenzyme_A_transferase_(EC_2.8.3.16)_	5.7	6.2	0	3.2	0	0	7.2	11.3	1.9	89.9	348.1	8.7	0.000742963	0.06618165	30.93377483
FIG01848430_dehydrogenases_with_different_specificities_(related_to_short-chain_alcohol_dehydrogenases)_	FIG01848430	dehydrogenases_with_different_specificities_(related_to_short-chain_alcohol_dehydrogenases)_	0	18.6	0	0	3.9	0	87	47.4	366.7	137.4	0	21.7	0.000798895	0.06828278	29.34222222
FIG01346540_hypothetical_protein_with_50bp_hit_to_Dihydrolipoamide_acetyltransferase_	FIG01346540	hypothetical_protein_with_50bp_hit_to_Dihydrolipoamide_acetyltransferase_	11.4	0	45.2	0	2	0	1058.5	18.9	43.8	28.9	102.9	11.6	0.001240742	0.082241391	21.58020478
FIG00340853_Oxalyl-CoA_decarboxylase_(EC_4.1.1.8)_	FIG00340853	Oxalyl-CoA_decarboxylase_(EC_4.1.1.8)_	22.8	6.3	7.5	3.2	12.8	0	43.4	93.6	28.9	84.8	300.7	46.2	0.001631862	0.090571836	11.36121673
FIG00002387_Phosphatidylglycerophosphatase_B_(EC_3.1.3.27)_	FIG00002387	Phosphatidylglycerophosphatase_B_(EC_3.1.3.27)_	148.2	27	113	16	111.1	370.3	5531.3	116.2	373.3	193.4	822.8	37.4	0.001725304	0.093915817	9.00509165
FIG00938623_FIG00938624:_hypothetical_protein_	FIG00938623	FIG00938624:_hypothetical_protein_	108.2	221.9	990.8	196.4	581.7	318.1	2167.6	878.7	13929.9	847.9	807	834.7	0.00042393	0.053645075	8.053369741
FIG01480375_putative_heat_shock_protein_	FIG01480375	putative_heat_shock_protein_	876.6	186.7	376.8	70.2	370.5	1019.4	2493.9	635.1	5402.2	1543.2	182	6492.2	0.001840486	0.09654116	5.774981036
FIG00936964_FIG00936965:_hypothetical_protein_	FIG00936964	FIG00936965:_hypothetical_protein_	1172.6	514.2	1676.5	1291.7	953.1	785.6	3820.4	2182.9	13840.2	3371.3	1859.2	8040.1	0.000503172	0.056876903	5.179176377
FIG00005935_FIG005935:_membrane_protein_	FIG00005935	FIG005935:_membrane_protein_	4810.2	2403.6	3190.8	1132.2	1750.3	3499.7	5400.9	7306.7	32509.1	7800.5	11939.3	12246.5	0.000655036	0.062765331	4.59903019
"FIG01347538_TonB-dependent_receptor,_putative_"	FIG01347538	"TonB-dependent_receptor,_putative_"	1611	951.8	1073.6	651.5	1600.8	1986.9	5632.6	2672.8	12369.1	2199.6	2856.2	5867.1	0.001903392	0.096594658	4.012062573
FIG00007881_Cytochrome_c551_peroxidase_(EC_1.11.1.5)_	FIG00007881	Cytochrome_c551_peroxidase_(EC_1.11.1.5)_	893.8	284.1	753.6	538.1	1515.1	993.4	318.8	39.7	234.1	64.5	174.1	98.2	0.001573565	0.089416662	-5.356251345
FIG00001520_Aconitate_hydratase_2_(EC_4.2.1.3)_	FIG00001520	Aconitate_hydratase_2_(EC_4.2.1.3)_	1582.5	354.6	753.5	578	1414.2	1324.5	275.5	55.8	336.8	147.5	174.1	73.7	0.000942175	0.072859629	-5.649144254
FIG00002735_Cytochrome_C553_(soluble_cytochrome_f)_	FIG00002735	Cytochrome_C553_(soluble_cytochrome_f)_	831.2	172.1	587.6	360.8	703.6	733.7	137.7	18	140.9	54.3	110.8	47.7	0.000726175	0.06618165	-6.65292501
FIG00003668_Flagellin_	FIG00003668	Flagellin_	5391	883.6	3375.5	2476.7	5924.6	3538.8	992.7	333.9	980.8	354.6	300.5	199.2	0.000138022	0.033621325	-6.828668122
"FIG00032483_PTS_system,_fructose-_and_mannose-inducible_IID_component_(EC_2.7.1.69)_"	FIG00032483	"PTS_system,_fructose-_and_mannose-inducible_IID_component_(EC_2.7.1.69)_"	637.5	68.4	120.6	89.4	71.8	889.5	108.7	42.7	27.1	11.9	7.9	18.8	0.001392733	0.086030254	-8.646706587
FIG01424044_Major_outer_membrane_protein_	FIG01424044	Major_outer_membrane_protein_	4673.4	690.6	1062.4	2577.1	3392.4	5785.1	297.1	169.6	811.7	307	253.1	72.4	4.62E-05	0.017252006	-9.514364959
FIG01504375_FIG00416149:_hypothetical_protein_	FIG01504375	FIG00416149:_hypothetical_protein_	22.8	6.3	105.5	89.4	186.7	798.6	57.9	23.7	13.1	5.1	7.9	13	0.001873404	0.096556504	-10.01905551
FIG00020837_Quinone-reactive_Ni/Fe-hydrogenase_large_chain_(EC_1.12.5.1)_	FIG00020837	Quinone-reactive_Ni/Fe-hydrogenase_large_chain_(EC_1.12.5.1)_	341.6	60.2	354.1	169.3	406.8	207.7	43.5	8.5	48.6	17	23.7	5.7	0.000278208	0.044570847	-10.47414966
FIG00103126_Cytochrome_c_oxidase_subunit_CcoN_(EC_1.9.3.1)_	FIG00103126	Cytochrome_c_oxidase_subunit_CcoN_(EC_1.9.3.1)_	318.8	74.7	248.7	186.8	393.3	337.7	36.2	5.6	79.2	15.3	7.9	2.8	0.000436051	0.05397179	-10.6122449
FIG00003942_Quinone-reactive_Ni/Fe-hydrogenase_small_chain_precursor_(EC_1.12.5.1)_	FIG00003942	Quinone-reactive_Ni/Fe-hydrogenase_small_chain_precursor_(EC_1.12.5.1)_	375.7	68.5	199.6	167.7	321.3	240.2	21.7	8.5	47.6	18.7	15.8	13	0.000187293	0.038019568	-10.95770152
FIG01596087_Dimethylsulfide_methyltransferase_corrinoid_protein_/_Dimethylsulfide:corrinoid_methyltransferase_	FIG01596087	Dimethylsulfide_methyltransferase_corrinoid_protein_/_Dimethylsulfide:corrinoid_methyltransferase_	757.1	464.6	124.4	1050.7	59	175.3	58	6.6	55	8.5	87	1.4	0.000438507	0.05397179	-12.15288684
FIG00745148_FIG00745154:_hypothetical_protein_	FIG00745148	FIG00745154:_hypothetical_protein_	256.2	24.9	486	12.8	209.3	71.4	43.5	12.3	0.9	1.7	7.9	7.2	0.000576006	0.059784082	-14.42993197
FIG01614957_FIG00405246:_hypothetical_protein_	FIG01614957	FIG00405246:_hypothetical_protein_	5424.7	777.6	1194.3	49.5	1610.7	3460.6	94.2	44.6	82.1	130.6	458.9	28.9	4.96E-05	0.017252006	-14.91409508
FIG00945653_putative_oxidoreductase_	FIG00945653	putative_oxidoreductase_	148.1	12.4	30.1	148.5	41.3	1077.8	36.2	5.5	30.8	0	7.9	17.1	0.000849434	0.069640698	-14.95589744
FIG01604119_FIG00411138:_hypothetical_protein_	FIG01604119	FIG00411138:_hypothetical_protein_	62.6	6.2	71.6	118.2	54.1	1616.7	36.2	11.3	51.4	13.6	7.9	7.2	0.00057675	0.059784082	-15.12068966
FIG00017247_Possible_bacterioferritin_	FIG00017247	Possible_bacterioferritin_	2863.2	279.9	598.8	1082.6	1328.5	2428.3	195.6	55.9	111.1	45.8	47.5	24.6	4.19E-06	0.004685392	-17.8591051
FIG00743605_FIG00743607:_hypothetical_protein_	FIG00743605	FIG00743607:_hypothetical_protein_	392.8	16.6	11.3	12.8	83.5	39	7.2	15.2	3.7	0	0	4.3	0.001057992	0.076361519	-18.28947368
FIG00521172_FIG00521176:_hypothetical_protein_	FIG00521172	FIG00521176:_hypothetical_protein_	62.6	10.4	116.8	198	14.8	103.8	7.2	0.9	9.3	1.7	7.9	0	0.0005102	0.056876903	-18.75555556
FIG01117670_putative_ATP-dependent_Clp_proteinase_(ATP-binding_subunit)_	FIG01117670	putative_ATP-dependent_Clp_proteinase_(ATP-binding_subunit)_	1235.3	250.9	173.4	79.9	95.4	2590.6	14.4	44.6	81.2	27.1	23.7	23.1	2.60E-05	0.013313791	-20.67024755
FIG00753562_S-layer_protein_precursor_	FIG00753562	S-layer_protein_precursor_	9318.3	2223.1	2166.2	2569.1	5254.6	2454.3	43.5	695.7	269.6	22	71.2	34.7	4.33E-06	0.004685392	-21.10108208
FIG01445064_FIG00412133:_hypothetical_protein_	FIG01445064	FIG00412133:_hypothetical_protein_	56.9	0	11.3	43.1	6.9	1155.7	29	3.8	13.9	3.4	0	8.7	0.001352619	0.085581683	-21.66496599
FIG00743267_FIG00743269:_hypothetical_protein_	FIG00743267	FIG00743269:_hypothetical_protein_	11356.1	1231.8	2791.6	812.7	5845.2	1395.9	645.2	53.1	54.1	32.2	189.9	27.5	5.83E-06	0.005678907	-23.38652695
FIG00025527_Pyruvate_dehydrogenase_E1_component_beta_subunit_(EC_1.2.4.1)_	FIG00025527	Pyruvate_dehydrogenase_E1_component_beta_subunit_(EC_1.2.4.1)_	273.2	47.7	11.3	55.9	20.7	123.4	7.2	11.4	0	0	0	2.9	0.000452554	0.054439155	-24.75348837
FIG01319532_Outer_membrane_liproprotein_mapA_precursor_	FIG01319532	Outer_membrane_liproprotein_mapA_precursor_	85.4	10.4	7.5	25.5	47.2	58.4	0	0	8.4	0	0	0	0.001489894	0.088898851	-27.9047619
FIG00748200_FIG00748201:_hypothetical_protein_	FIG00748200	FIG00748201:_hypothetical_protein_	85.4	14.5	0	71.9	10.8	26	0	0	2.8	0	0	2.9	0.001505407	0.088898851	-36.59649123
"FIG00003889_2-Oxobutyrate_oxidase,_putative_"	FIG00003889	"2-Oxobutyrate_oxidase,_putative_"	45.5	2.1	11.3	20.8	53.1	45.4	0	0	4.7	0	0	0	0.001538932	0.089416662	-37.91489362
FIG01477308_Histidine-binding_protein_precursor_	FIG01477308	Histidine-binding_protein_precursor_	62.6	2.1	18.8	31.9	36.4	58.4	0	0.9	3.7	0	0	0	0.000622809	0.061435907	-45.69565217
"FIG00053728_GDP-mannose_4,6-dehydratase_(EC_4.2.1.47)_"	FIG00053728	"GDP-mannose_4,6-dehydratase_(EC_4.2.1.47)_"	335.9	43.6	86.7	175.6	258.6	344.1	0	0	10.2	0	7.9	8.7	1.46E-05	0.01094299	-46.43656716
FIG01208921_protease_IV_(PspA)_	FIG01208921	protease_IV_(PspA)_	28.5	8.3	11.3	17.6	32.4	32.5	0	0	2.8	0	0	0	0.001502475	0.088898851	-46.64285714
FIG01361484_Methylcobamide:CoM_methyltransferase_MtbA_	FIG01361484	Methylcobamide:CoM_methyltransferase_MtbA_	28.5	0	0	71.9	5.9	337.6	0	0	3.7	0	0	5.8	0.000975509	0.073683078	-46.72631579
FIG00817545_Two-component_regulator_	FIG00817545	Two-component_regulator_	68.3	10.4	15.1	52.7	50.1	84.4	0	0	5.6	0	0	0	0.000335823	0.05034115	-50.17857143
FIG00469603_FIG00387915:_hypothetical_protein_	FIG00469603	FIG00387915:_hypothetical_protein_	11.4	0	11.3	35.1	26.5	58.4	0	0	2.8	0	0	0	0.001834664	0.09654116	-50.96428571
FIG01494185_predicted_membrane-associated_	FIG01494185	predicted_membrane-associated_	11.4	2.1	406.9	0	47.2	0	0	0.9	6.5	1.7	0	0	0.000686976	0.064362718	-51.38461538
"FIG00056617_PTS_system,_fructose-_and_mannose-inducible_IIC_component_(EC_2.7.1.69)_"	FIG00056617	"PTS_system,_fructose-_and_mannose-inducible_IIC_component_(EC_2.7.1.69)_"	204.9	20.7	26.4	12.8	36.4	298.7	0	5.6	0	0	0	5.8	0.00010126	0.028189968	-52.62280702
"FIG00888572_Phosphoesterase,_DHH_family_protein_/_LSU_ribosomal_protein_L9p_"	FIG00888572	"Phosphoesterase,_DHH_family_protein_/_LSU_ribosomal_protein_L9p_"	159.4	10.4	7.5	16	11.8	0	0	0.9	0	0	0	2.9	0.000941293	0.072859629	-53.97368421
FIG00532987_phage_minor_capsid_protein_	FIG00532987	phage_minor_capsid_protein_	728.6	0	7.5	14.4	6.9	26	0	0	12.1	0	0	1.4	0.000359248	0.051126139	-58.02962963
FIG00000443_5'-methylthioadenosine_nucleosidase_(EC_3.2.2.16)_/_S-adenosylhomocysteine_nucleosidase_(EC_3.2.2.9)_	FIG00000443	5'-methylthioadenosine_nucleosidase_(EC_3.2.2.16)_/_S-adenosylhomocysteine_nucleosidase_(EC_3.2.2.9)_	17.1	0	0	17.6	2	207.8	0	0	2.8	0	0	1.4	0.001130845	0.076374046	-58.21428571
FIG00939962_FIG00405262:_hypothetical_protein_	FIG00939962	FIG00405262:_hypothetical_protein_	79.7	0	3.8	33.5	4.9	129.9	0	0	0	0	0	4.3	0.000601277	0.060516837	-58.55813953
FIG01545010_FIG00416872:_hypothetical_protein_	FIG01545010	FIG00416872:_hypothetical_protein_	267.5	0	0	60.7	2	246.7	0	0	0	0	7.9	1.4	0.000401302	0.052333147	-62.03225806
FIG01318971_Nonheme_iron-containing_ferritin_	FIG01318971	Nonheme_iron-containing_ferritin_	0	4.1	233.6	0	30.5	0	0	0	0.9	3.4	0	0	0.001106347	0.076374046	-62.37209302
FIG01351097_FIG00655893:_hypothetical_protein_	FIG01351097	FIG00655893:_hypothetical_protein_	56.9	0	7.5	279.4	14.7	1012.9	7.2	1.9	2.8	1.7	0	7.2	4.86E-05	0.017252006	-65.93269231
FIG00898715_FIG00898716:_hypothetical_protein_	FIG00898715	FIG00898716:_hypothetical_protein_	34.2	0	0	33.5	0	324.6	0	1.9	0.9	0	0	2.9	0.000651421	0.062765331	-68.8245614
FIG01377282_Phage_tail_sheath_protein_FI_	FIG01377282	Phage_tail_sheath_protein_FI_	0	267.5	33.9	8	906.1	0	0	0.9	0	0	15.8	0	0.000278291	0.044570847	-72.78443114
FIG00469627_FIG00469629:_hypothetical_protein_	FIG00469627	FIG00469629:_hypothetical_protein_	22.8	2.1	3.8	27.1	45.2	110.4	0	0	2.8	0	0	0	0.000369887	0.051126139	-75.5
FIG01304251_Omega_amidase_(Nit2_homolog)_	FIG01304251	Omega_amidase_(Nit2_homolog)_	39.8	0	0	3.2	0	136.3	0	0	0.9	0	0	1.4	0.001274352	0.083898436	-77.95652174
"FIG00001828_Tagatose_1,6-diphosphate_aldolase_(EC_4.1.2.40)_"	FIG00001828	"Tagatose_1,6-diphosphate_aldolase_(EC_4.1.2.40)_"	5.7	0	7.5	1.6	2.9	6.5	0	0	0	0	0	0	0.00201551	0.09968845	-80.66666667
FIG01430089_LPS_biosynthesis_protein_WbpG_	FIG01430089	LPS_biosynthesis_protein_WbpG_	39.9	6.2	3.8	38.4	30.5	32.5	0	0	1.8	0	0	0	0.000463463	0.054457333	-84.05555556
FIG00948856_Long-chain_fatty_acid_transport_protein_	FIG00948856	Long-chain_fatty_acid_transport_protein_	51.2	2.1	11.3	41.5	28.5	26	0	0	1.9	0	0	0	0.000372542	0.051126139	-84.52631579
FIG01390860_Muramidase-released_protein_precursor_(136_kDa_surface_protein)_	FIG01390860	Muramidase-released_protein_precursor_(136_kDa_surface_protein)_	39.9	39.4	26.4	12.8	6.9	779.1	0	4.7	5.6	0	0	0	4.60E-05	0.017252006	-87.81553398
FIG01360321_Acetyl-CoA_hydrolase_	FIG01360321	Acetyl-CoA_hydrolase_	165.1	20.7	75.3	91	141.5	77.9	0	0	6.5	0	0	0	1.15E-05	0.009347716	-87.92307692
FIG00440092_Bll5738_protein_	FIG00440092	Bll5738_protein_	113.8	14.5	41.4	60.7	101.2	90.9	0	0.9	3.7	0	0	0	2.05E-05	0.011116519	-91.84782609
FIG00847506_Heat_shock_protein_HtpX_	FIG00847506	Heat_shock_protein_HtpX_	11.4	8.3	3.8	24	13.8	26	0	0	0.9	0	0	0	0.001117774	0.076374046	-97
"FIG00008770_CRISPR-associated_protein,_CT1976_"	FIG00008770	"CRISPR-associated_protein,_CT1976_"	17.1	8.3	18.9	1.6	181.8	0	0	0	0.9	0	0	1.4	0.000231877	0.041839875	-99
FIG00746216_HTH-type_transcriptional_regulator_glvR_	FIG00746216	HTH-type_transcriptional_regulator_glvR_	28.5	2.1	0	4.8	48.2	6.5	0	0.9	0	0	0	0	0.001852494	0.09654116	-100.1111111
"FIG01337950_BexA,_multidrug_efflux_pump_"	FIG01337950	"BexA,_multidrug_efflux_pump_"	22.8	0	0	8	0	110.4	0	0	0	0	0	1.4	0.001111259	0.076374046	-100.8571429
FIG01010650_Transport_ATP-binding_protein_CydD_	FIG01010650	Transport_ATP-binding_protein_CydD_	5.7	62.2	7.5	1.6	10.8	13	0	0.9	0	0	0	0	0.000821352	0.06902326	-112
FIG01346671_FIG00896341:_hypothetical_protein_	FIG01346671	FIG00896341:_hypothetical_protein_	39.8	0	3.8	8	1	474	0	0	1.9	0	0	2.8	0.000168013	0.035588662	-112.0425532
FIG00742253_Hypothetical_protein_SAV1845_	FIG00742253	Hypothetical_protein_SAV1845_	11.4	6.2	3.8	0	6.9	6.5	0	0	0	0	0	0	0.001374261	0.086030254	-116
FIG01574139_First_ORF_in_transposon_ISC1904_	FIG01574139	First_ORF_in_transposon_ISC1904_	5.7	18.7	0	0	3.9	6.5	0	0	0	0	0	0	0.001879187	0.096556504	-116
FIG00637832_FIG00637835:_hypothetical_protein_	FIG00637832	FIG00637835:_hypothetical_protein_	28.5	0	0	4.8	1	71.4	0	0	0.9	0	0	0	0.001919247	0.096779189	-117.4444444
"FIG01332722_DNA_polymerase,_bacteriophage-type_(EC_2.7.7.7)_"	FIG01332722	"DNA_polymerase,_bacteriophage-type_(EC_2.7.7.7)_"	11.4	0	0	6.4	4.9	13	0	0	0	0	0	0	0.001815382	0.09654116	-119
FIG00454255_Heat_shock_protein_Hsp20_	FIG00454255	Heat_shock_protein_Hsp20_	34.2	0	312.7	0	0	0	0	1.9	0.9	0	0	0	0.000533444	0.057295183	-123.8928571
FIG01531791_Putative_permease_of_the_Na+:galactoside_symporter_family_	FIG01531791	Putative_permease_of_the_Na+:galactoside_symporter_family_	5.7	0	0	63.9	1	110.4	0	0	0	0	0	1.4	0.00044313	0.05397179	-129.2857143
FIG00122158_Archaeal_DNA_polymerase_II_large_subunit_(EC_2.7.7.7)_@_intein-containing_	FIG00122158	Archaeal_DNA_polymerase_II_large_subunit_(EC_2.7.7.7)_@_intein-containing_	11.4	0	7.5	9.6	3.9	6.5	0	0	0	0	0	0	0.001135734	0.076374046	-129.6666667
FIG01207056_Type_II_restriction-modification_system_methylation_subunit_	FIG01207056	Type_II_restriction-modification_system_methylation_subunit_	17.1	0	0	4.8	4.9	13	0	0	0	0	0	0	0.001560735	0.089416662	-132.6666667
FIG00750403_FIG00750410:_hypothetical_protein_	FIG00750403	FIG00750410:_hypothetical_protein_	28.5	2.1	0	3.2	0	6.5	0	0	0	0	0	0	0.001836166	0.09654116	-134.3333333
FIG01960276_NADH-ubiquinone_oxidoreductase_chain_M_(EC_1.6.5.3)_	FIG01960276	NADH-ubiquinone_oxidoreductase_chain_M_(EC_1.6.5.3)_	5.7	12.4	7.6	12.8	2	0	0	0	0	0	0	0	0.001108205	0.076374046	-135
