FigFam	description	X188.non.day.2	X190.non.day.2	X191.non.day.2	X196.non.day.2	X197.non.day.2	X200.non.day.2	X187.carb.day.2	X189.carb.day.2	X192.carb.day.2	X194.carb.day.2	X195.carb.day.2	X198.carb.day.2	Pvalues	Qvalues	fold_change	
FIG01441975_FIG01253679:_hypothetical_protein_	FIG01441975	FIG01253679:_hypothetical_protein_	0	0	0	0	0	0	10	0	4.3	0	0	0	0.004783865	0.069212197	47.66666667
FIG00668749_FIG00668751:_hypothetical_protein_	FIG00668749	FIG00668751:_hypothetical_protein_	0.3	0	0	0	0	0	0	13.4	0	0.8	0	0	0.005440653	0.071397105	47.33333333
FIG00002641_Conjugative_transfer_protein_TrbG_	FIG00002641	Conjugative_transfer_protein_TrbG_	0	0	0	0	0.5	0	14	6.7	0	0	0	2.6	0.002125338	0.060975432	46.6
"FIG01344332_Thymidylate_kin,_Thymidylate_kinase_"	FIG01344332	"Thymidylate_kin,_Thymidylate_kinase_"	5.9	0	0	3	0	0	391.1	13.4	0	0	0	0	0.006666806	0.074975181	45.4494382
FIG00524774_FIG00524775:_hypothetical_protein_	FIG00524774	FIG00524775:_hypothetical_protein_	0	0	0	0	0	0	0	6.7	0	5.6	0	1.3	0.003414536	0.065584537	45.33333333
FIG01032072_FIG01032073:_hypothetical_protein_	FIG01032072	FIG01032073:_hypothetical_protein_	0	0	0	0	0	0	0	10.1	0	0.8	1.3	1.3	0.002934232	0.064207296	45
"FIG01381549_mobilizable_transposon,_xis_protein_"	FIG01381549	"mobilizable_transposon,_xis_protein_"	0	0	0	0	0	0	10	3.4	0	0	0	0	0.005103951	0.070140243	44.66666667
FIG01456394_glycosyl_transferase_family_8_protein_	FIG01456394	glycosyl_transferase_family_8_protein_	0	0	0	0	0	0	0	0	0	0.8	0	12.1	0.005677941	0.071397105	43
FIG01291169_FIG01291173:_hypothetical_protein_	FIG01291169	FIG01291173:_hypothetical_protein_	2.2	0	5.3	9	2	3.4	528.7	378.7	2.3	0	2.6	0	0.002095278	0.06071378	41.65753425
FIG00138754_Uncharacterized_protein_YtfN_	FIG00138754	Uncharacterized_protein_YtfN_	0	0	0	0	0	0	0	10.1	0	0.8	0	1.3	0.004346082	0.068284262	40.66666667
FIG01959666_Conjugative_transfer_protein_TrbE_	FIG01959666	Conjugative_transfer_protein_TrbE_	0	0	0	0	0	0	0	10.1	0	1.6	0	0	0.005548304	0.071397105	39
FIG00817093_FIG00817094:_hypothetical_protein_	FIG00817093	FIG00817094:_hypothetical_protein_	3.1	0	2.7	6	0	0	31.9	425.5	0.4	0	0	1.3	0.006065096	0.072060311	38.90677966
"FIG00009905_Putative_deoxyribonuclease_similar_to_YcfH,_type_4_"	FIG00009905	"Putative_deoxyribonuclease_similar_to_YcfH,_type_4_"	1.5	0	1.3	0	0	0.5	35.9	90.5	0	0	1.3	0	0.006423219	0.07348124	38.6969697
FIG00528046_FIG00528047:_hypothetical_protein_	FIG00528046	FIG00528047:_hypothetical_protein_	0	0	0	0	0	0	0	6.7	0.8	0	2.6	1.3	0.002674255	0.063418626	38
FIG00774094_FIG00774095:_hypothetical_protein_	FIG00774094	FIG00774095:_hypothetical_protein_	0	0	0	0	0	0	0	3.4	0	4	0	4	0.003621899	0.065584537	38
FIG01304221_Cd(II)/Pb(II)-responsive_transcriptional_regulator_	FIG01304221	Cd(II)/Pb(II)-responsive_transcriptional_regulator_	0.3	0	0	0	0	0	0	10.1	0	0	1.3	0	0.006226643	0.072781047	38
FIG01523333_FIG01022842:_hypothetical_protein_	FIG01523333	FIG01022842:_hypothetical_protein_	0	0	0	0	0	0	10	0	0	0	1.3	0	0.006216403	0.072781047	37.66666667
FIG00645108_FIG00645110:_hypothetical_protein_	FIG00645108	FIG00645110:_hypothetical_protein_	0	0	1.3	0	0	0	2	33.6	0	0	7.8	4	0.006169805	0.072781047	36.46153846
FIG00674184_FIG00674185:_hypothetical_protein_	FIG00674184	FIG00674185:_hypothetical_protein_	0.3	0	0	0	0	0	6	0	0	4.8	0	0	0.005472793	0.071397105	36
"FIG01323113_Amino_acid_ABC_transporter,_periplasmic_amino_acid-binding_portion_"	FIG01323113	"Amino_acid_ABC_transporter,_periplasmic_amino_acid-binding_portion_"	0	0	0	0	0	0	0	6.7	0	4	0	0	0.005525163	0.071397105	35.66666667
FIG01756407_DNA-binding_helix-turn-helix_protein_	FIG01756407	DNA-binding_helix-turn-helix_protein_	0	0	0	0	0	0	0	6.7	0	0	0	4	0.005524404	0.071397105	35.66666667
FIG00634071_Rhs-family_protein_	FIG00634071	Rhs-family_protein_	0	0	0	0	0	0	0	6.7	0	4	0	0	0.005525163	0.071397105	35.66666667
FIG01303819_MaoC_domain_protein_dehydratase_	FIG01303819	MaoC_domain_protein_dehydratase_	0	0	0	0	0	0.5	2	3.4	0	1.6	2.6	8.1	0.00102215	0.05376082	35.4
FIG01444822_COG1514:_2'-5'_RNA_ligase_	FIG01444822	COG1514:_2'-5'_RNA_ligase_	0	0	0	0	0	0	0	0	0.8	7.2	2.6	0	0.004065404	0.06730712	35.33333333
FIG01308136_putative_inner_membrane_protein_	FIG01308136	putative_inner_membrane_protein_	0	0	0	3	0.5	1	31.9	10.1	6.6	0	109.7	0	0.003751336	0.066366761	35.17777778
FIG00517493_FIG00517494:_hypothetical_protein_	FIG00517493	FIG00517494:_hypothetical_protein_	1.4	0	0	0	0	0	10	36.9	0.4	0.8	0	0	0.009100693	0.08741646	34.35714286
FIG01114446_FIG01114447:_hypothetical_protein_	FIG01114446	FIG01114447:_hypothetical_protein_	0	0	0	0	0	0.5	0	0	0	0	7.7	9.4	0.004120454	0.067604578	34.2
FIG01054804_FIG01054805:_hypothetical_protein_	FIG01054804	FIG01054805:_hypothetical_protein_	0	0	0	0	0	0	4	0	0	0.8	1.3	4	0.002888621	0.064043892	33.66666667
FIG00534688_FIG00534690:_hypothetical_protein_	FIG00534688	FIG00534690:_hypothetical_protein_	0	0	0	0	0	0	4	3.4	0	0	0	2.7	0.003876936	0.066982185	33.66666667
FIG00489636_protein_of_unknown_function_DUF1105_	FIG00489636	protein_of_unknown_function_DUF1105_	0	0	0	0	0.5	0	0	3.4	5.4	8	0	0	0.002839464	0.064043892	33.6
FIG01852828_Glutamine_transporter_ATP-binding_protein_	FIG01852828	Glutamine_transporter_ATP-binding_protein_	2.3	0	0	0	0	0.5	35.9	36.9	0.4	1.6	5.2	12.1	0.002737266	0.063625075	32.89285714
FIG00135535_CoB--CoM-reducing_hydrogenase_(Sec)_beta_subunit_	FIG00135535	CoB--CoM-reducing_hydrogenase_(Sec)_beta_subunit_	0	13.5	0	0	9.3	0.5	0	33.5	0	671.3	0	32.2	0.008811959	0.086210589	31.63090129
FIG00897900_FIG00897901:_hypothetical_protein_	FIG00897900	FIG00897901:_hypothetical_protein_	0	0	0	0	0.5	0	0	10.1	3.1	2.4	0	0	0.003189587	0.064735222	31.2
FIG01032444_prophage_pi2_protein_38_	FIG01032444	prophage_pi2_protein_38_	0	0	0	3	1.5	0.5	119.7	13.4	1.6	1.6	16.8	0	0.004392455	0.068637798	30.62
"FIG00007866_ABC-type_Fe3+-siderophore_transport_system,_permease_2_component_"	FIG00007866	"ABC-type_Fe3+-siderophore_transport_system,_permease_2_component_"	0.3	0	0	0	0	0	2	6.7	0.4	0	0	0	0.006534128	0.074055069	30.33333333
FIG01361251_Carboxyl-terminal_protease_	FIG01361251	Carboxyl-terminal_protease_	0	1.4	0	0	0.5	0	37.9	16.8	0	0	2.6	0	0.006044368	0.071913086	30.15789474
FIG00645073_FIG00645074:_hypothetical_protein_	FIG00645073	FIG00645074:_hypothetical_protein_	0	0	0	0	0	0	4	0	0.8	1.6	1.3	1.3	0.002032134	0.060292413	30
FIG00533065_putative_transport_system_permease_ABC_transporter_protein_	FIG00533065	putative_transport_system_permease_ABC_transporter_protein_	27.3	0	22.6	93.2	12.2	8.7	3850.6	938.2	14.8	11.1	12.9	69.8	0.001798559	0.060292413	29.86219512
FIG01032329_FIG01032330:_hypothetical_protein_	FIG01032329	FIG01032330:_hypothetical_protein_	0	2.7	0	0	0	0	61.8	3.4	0	2.4	2.6	9.4	0.009424192	0.089660505	29.48148148
FIG01477773_FIG00912340:_hypothetical_protein_	FIG01477773	FIG00912340:_hypothetical_protein_	0	0	0	0	0	0.5	10	3.4	0	0	0	1.3	0.003563994	0.065584537	29.4
FIG01675864_putative_phage_head-tail_adaptor_	FIG01675864	putative_phage_head-tail_adaptor_	0	0	0	0	0	0	0	6.7	0	0.8	1.3	0	0.005038452	0.070140243	29.33333333
FIG00010453_4-oxalocrotonate_tautomerase_(EC_5.3.2.-)_	FIG00010453	4-oxalocrotonate_tautomerase_(EC_5.3.2.-)_	0	0	0	0	0	0	8	0	0	0.8	0	0	0.006969065	0.076154221	29.33333333
FIG00501836_FIG00501843:_hypothetical_protein_	FIG00501836	FIG00501843:_hypothetical_protein_	0	0	0	0	0	0	0	3.4	3.9	0	1.3	0	0.004873726	0.069212197	28.66666667
FIG01370949_ADP-ribosylglycohydrolase_	FIG01370949	ADP-ribosylglycohydrolase_	0	0	0	0	0	0	6	0	0	0	2.6	0	0.006334003	0.072781047	28.66666667
FIG01297722_Phosphoacetylglucosamine_mutase_(EC_5.4.2.3)_	FIG01297722	Phosphoacetylglucosamine_mutase_(EC_5.4.2.3)_	0	0	0	0	0	0	0	0	7.8	0.8	0	0	0.006983746	0.076154221	28.66666667
FIG01533847_ankyrin_repeat_protein_	FIG01533847	ankyrin_repeat_protein_	5.1	0	2.7	0	0	1	0	227.9	1.6	0	15.5	5.4	0.007189805	0.076944423	28.45454545
FIG01910516_FIG00191639:_hypothetical_protein_	FIG01910516	FIG00191639:_hypothetical_protein_	0	0	0	0	0	0	6	0	1.2	0	1.3	0	0.0053619	0.071135125	28.33333333
FIG00886092_O-Glycosyl_hydrolase_family_30_	FIG00886092	O-Glycosyl_hydrolase_family_30_	0	0	0	0	0	0	0	0	0	7.2	0	1.3	0.007481019	0.077954998	28.33333333
FIG00603954_FIG00603958:_hypothetical_protein_	FIG00603954	FIG00603958:_hypothetical_protein_	0	0	0	0	0	0	6	0	0.8	1.6	0	0	0.004679909	0.068863639	28
FIG00060285_FIG139438:_lipoprotein_B_	FIG00060285	FIG139438:_lipoprotein_B_	0	0	0	0	0	0	0	0	4.7	2.4	1.3	0	0.005006271	0.070140243	28
FIG01225815_thiJ/pfpI_family_protein_	FIG01225815	thiJ/pfpI_family_protein_	0	0	0	0	0	0	0	6.7	0	1.6	0	0	0.006537586	0.074055069	27.66666667
FIG01904882_predicted_enoate_reductase_[EC:1.3.1.31]_	FIG01904882	predicted_enoate_reductase_[EC:1.3.1.31]_	0	0	0	0	0.5	0	0	0	2.3	0.8	10.3	0	0.003877341	0.066982185	26.8
FIG01236785_FIG01236791:_hypothetical_protein_	FIG01236785	FIG01236791:_hypothetical_protein_	0	0	0	0	0	0.5	0	13.4	0	0	0	0	0.007429604	0.077954998	26.8
FIG01322565_Streptomycin_biosynthesis_StrF_domain_protein_	FIG01322565	Streptomycin_biosynthesis_StrF_domain_protein_	0.3	0	0	0	0	0.5	0	13.4	0.4	2.4	3.9	1.3	0.001846684	0.060292413	26.75
FIG00513764_FIG00513765:_hypothetical_protein_	FIG00513764	FIG00513765:_hypothetical_protein_	0	0	0	0	0	0	6	0	1.9	0	0	0	0.007008205	0.076154221	26.33333333
FIG01372991_FIG01253573:_hypothetical_protein_	FIG01372991	FIG01253573:_hypothetical_protein_	10.7	0	4	0	0.5	2.4	401	50.3	3.1	0	2.6	1.3	0.005951692	0.071397105	26.03977273
FIG00521499_FIG00521505:_hypothetical_protein_	FIG00521499	FIG00521505:_hypothetical_protein_	0	0	0	0	0	0	0	0	0	0.8	0	6.7	0.007479835	0.077954998	25
FIG01032231_FIG01032232:_hypothetical_protein_	FIG01032231	FIG01032232:_hypothetical_protein_	0	0	0	0	0	0	0	3.4	0	0	0	4	0.007449398	0.077954998	24.66666667
FIG00530792_FIG00530794:_hypothetical_protein_	FIG00530792	FIG00530794:_hypothetical_protein_	0	0	0	0	0.5	0	0	3.4	0	8.8	0	0	0.005359603	0.071135125	24.4
FIG01424907_N-acetyl-beta-hexosaminidase_	FIG01424907	N-acetyl-beta-hexosaminidase_	0	0	0	0	0	0	6	0	0	0	1.3	0	0.008101387	0.082330566	24.33333333
FIG01731529_probable_DNA_recombinase_recG(_EC:3.6.1.-_)_	FIG01731529	probable_DNA_recombinase_recG(_EC:3.6.1.-_)_	2.5	9.5	10.6	12	2.4	10.6	1029.5	70.4	2.7	4.8	15.5	6.7	0.001695063	0.059678063	23.73109244
FIG00588986_FIG00588987:_hypothetical_protein_	FIG00588986	FIG00588987:_hypothetical_protein_	0.3	0	0	0	0	0	0	3.4	0	2.4	1.3	0	0.005981099	0.071397105	23.66666667
FIG00011272_Prolyl_endopeptidase_(EC_3.4.21.26)_	FIG00011272	Prolyl_endopeptidase_(EC_3.4.21.26)_	2.3	1.4	4	0	0	10.2	23.9	311.7	7.8	8.7	28.3	37.6	0.001312704	0.05596609	23.35195531
FIG01674810_FIG00152082:_hypothetical_protein_	FIG01674810	FIG00152082:_hypothetical_protein_	17.8	0	1.3	153.4	5.4	4.8	2597.7	485.9	126.6	58.1	903.1	68.5	0.00172751	0.0598434	23.20689655
FIG00534803_FIG00534806:_hypothetical_protein_	FIG00534803	FIG00534806:_hypothetical_protein_	0	0	0	0	0	0	0	0	0.4	0	5.2	1.3	0.008944464	0.086210589	23
FIG00645074_FIG00514608:_hypothetical_protein_	FIG00645074	FIG00514608:_hypothetical_protein_	0	0	0	0	0	0	0	3.4	0	0.8	2.6	0	0.005322337	0.071135125	22.66666667
FIG01427923_DNA/RNA_helicase_	FIG01427923	DNA/RNA_helicase_	0	0	0	0	0.5	0	10	0	0	0	1.3	0	0.006216403	0.072781047	22.6
FIG01688043_predicted_Transcriptional_regulator_	FIG01688043	predicted_Transcriptional_regulator_	1.1	0	0	0	3.4	0	53.9	36.9	3.1	0	5.2	0	0.009755548	0.091465832	22.02222222
FIG01327605_Nodulation_protein_nolNO_(EC_2.1.3.-)_	FIG01327605	Nodulation_protein_nolNO_(EC_2.1.3.-)_	0	0	0	0	0	0	0	0	3.9	0	0	2.7	0.007452198	0.077954998	22
